ENST00000362091	CCDS7072.1
ENST00000267750	CCDS10035.1
ENST00000267803	CCDS10119.1
ENST00000267811	CCDS10159.1
ENST00000267812	CCDS10105.1
ENST00000267814	CCDS10116.1
ENST00000267817	CCDS10095.1
ENST00000267837	CCDS10117.1
ENST00000267838	CCDS10143.1
ENST00000267842	CCDS10133.1
ENST00000267843	CCDS10131.1
ENST00000267845	CCDS10134.1
ENST00000267853	CCDS10162.1
ENST00000267857	CCDS10172.1
ENST00000267859	CCDS10174.1
ENST00000267868	CCDS10062.1
ENST00000267869	CCDS10173.1
ENST00000267889	CCDS10056.1
ENST00000267935	CCDS10277.1
ENST00000267938	CCDS10286.1
ENST00000267953	CCDS10312.1
ENST00000267970	CCDS10292.1
ENST00000267973	CCDS10300.1
ENST00000267984	CCDS10316.1
ENST00000268035	CCDS10378.1
ENST00000268042	CCDS10377.1
ENST00000268057	CCDS10246.1
ENST00000268058	CCDS10255.1
ENST00000268059	CCDS10257.1
ENST00000268062	CCDS10268.1
ENST00000268070	CCDS10383.1
ENST00000268079	CCDS10245.1
ENST00000268097	CCDS10243.1
ENST00000268099	CCDS10271.1
ENST00000268113	CCDS10346.1
ENST00000268122	CCDS10351.1
ENST00000268124	CCDS10350.1
ENST00000268150	CCDS10347.1
ENST00000268154	CCDS10358.1
ENST00000268159	CCDS10367.1
ENST00000268164	CCDS10372.1
ENST00000268171	CCDS10364.1
ENST00000268182	CCDS10362.1
ENST00000268231	CCDS10522.1
ENST00000268251	CCDS10534.1
ENST00000268261	CCDS10536.1
ENST00000268271	CCDS10553.1
ENST00000268296	CCDS10711.1
ENST00000268379	CCDS10601.1
ENST00000268389	CCDS10599.1
ENST00000268446	CCDS10723.1
ENST00000268459	CCDS10743.1
ENST00000268482	CCDS10907.1
ENST00000268483	CCDS10906.1
ENST00000268485	CCDS10904.1
ENST00000268489	CCDS10908.1
ENST00000268509	CCDS10788.1
ENST00000268514	CCDS10789.1
ENST00000268595	CCDS10814.1
ENST00000268603	CCDS10803.1
ENST00000268607	CCDS10960.1
ENST00000268616	CCDS10961.1
ENST00000268624	CCDS10944.1
ENST00000268638	CCDS10956.1
ENST00000268655	CCDS10504.1
ENST00000268661	CCDS10450.1
ENST00000268664	CCDS10452.1
ENST00000268668	CCDS10451.1
ENST00000268673	CCDS10473.1
ENST00000268674	CCDS10500.1
ENST00000268676	CCDS10989.1
ENST00000268679	CCDS10972.1
ENST00000268695	CCDS10970.1
ENST00000268699	CCDS10992.1
ENST00000268704	CCDS10977.1
ENST00000268711	CCDS11184.1
ENST00000268712	CCDS11175.1
ENST00000268717	CCDS11183.1
ENST00000268719	CCDS11190.1
ENST00000268720	CCDS10980.1
ENST00000268727	CCDS11179.1
ENST00000268756	CCDS11247.1
ENST00000268793	CCDS10856.1
ENST00000268795	CCDS10857.1
ENST00000268797	CCDS10845.1
ENST00000268802	CCDS10884.1
ENST00000268835	CCDS11200.1
ENST00000268864	CCDS11297.1
ENST00000268876	CCDS11292.1
ENST00000268893	CCDS11605.1
ENST00000268896	CCDS11588.1
ENST00000268933	CCDS11570.1
ENST00000268957	CCDS11576.1
ENST00000268981	CCDS11027.1
ENST00000269000	CCDS11521.1
ENST00000269025	CCDS11518.1
ENST00000269033	CCDS11253.1
ENST00000269053	CCDS11275.1
ENST00000269079	CCDS11676.1
ENST00000269080	CCDS11680.1
ENST00000269081	CCDS11684.1
ENST00000269095	CCDS11471.1
ENST00000269097	CCDS11476.1
ENST00000269133	CCDS11626.1
ENST00000269141	CCDS11891.1
ENST00000269143	CCDS11859.1
ENST00000269159	CCDS11855.1
ENST00000269162	CCDS11852.1
ENST00000269191	CCDS11908.1
ENST00000269192	CCDS11909.1
ENST00000269194	CCDS11916.1
ENST00000269195	CCDS11915.1
ENST00000269200	CCDS11825.1
ENST00000269209	CCDS11905.1
ENST00000269216	CCDS11872.1
ENST00000269217	CCDS11880.1
ENST00000269228	CCDS11878.1
ENST00000269243	CCDS11144.1
ENST00000269260	CCDS11050.1
ENST00000269289	CCDS11053.1
ENST00000269298	CCDS11116.1
ENST00000269299	CCDS11089.1
ENST00000269300	CCDS11147.1
ENST00000269305	CCDS11118.1
ENST00000269321	CCDS11788.1
ENST00000269347	CCDS11816.1
ENST00000269349	CCDS11767.1
ENST00000269361	CCDS11806.1
ENST00000269373	CCDS11817.1
ENST00000269383	CCDS11732.1
ENST00000269384	CCDS11814.1
ENST00000269385	CCDS11765.1
ENST00000269389	CCDS11808.1
ENST00000269394	CCDS11819.1
ENST00000269395	CCDS11815.1
ENST00000269399	CCDS11764.1
ENST00000269445	CCDS11937.1
ENST00000269466	CCDS11949.1
ENST00000269468	CCDS11943.1
ENST00000269485	CCDS11980.1
ENST00000269491	CCDS11984.1
ENST00000269500	CCDS12002.1
ENST00000269503	CCDS11999.1
ENST00000269532	CCDS11408.1
ENST00000269534	CCDS11410.1
ENST00000269554	CCDS11329.1
ENST00000269576	CCDS11377.1
ENST00000269578	CCDS11344.1
ENST00000269582	CCDS11343.1
ENST00000269593	CCDS11367.1
ENST00000269701	CCDS12329.1
ENST00000269703	CCDS12331.1
ENST00000269740	CCDS12093.1
ENST00000269812	CCDS12023.1
ENST00000269829	CCDS12973.1
ENST00000269844	CCDS13676.1
ENST00000269856	CCDS12135.1
ENST00000269878	CCDS12340.1
ENST00000269881	CCDS12344.1
ENST00000269967	CCDS12578.1
ENST00000269973	CCDS12632.1
ENST00000269980	CCDS12581.1
ENST00000269981	CCDS12635.1
ENST00000270014	CCDS12634.1
ENST00000270025	CCDS7691.1
ENST00000270061	CCDS12378.1
ENST00000270077	CCDS12618.1
ENST00000270112	CCDS13610.1
ENST00000270115	CCDS7700.1
ENST00000270139	CCDS13624.1
ENST00000270172	CCDS13705.1
ENST00000270178	CCDS13625.1
ENST00000270190	CCDS13643.1
ENST00000270218	CCDS1469.1
ENST00000270221	CCDS12715.1
ENST00000270225	CCDS12696.1
ENST00000270233	CCDS12644.1
ENST00000270257	CCDS12654.1
ENST00000270279	CCDS12643.1
ENST00000270310	CCDS12446.1
ENST00000270328	CCDS12206.1
ENST00000270349	CCDS3863.1
ENST00000270357	CCDS2537.1
ENST00000270360	CCDS2540.1
ENST00000270363	CCDS2539.1
ENST00000270443	CCDS12857.1
ENST00000270451	CCDS12932.1
ENST00000270452	CCDS12902.1
ENST00000270457	CCDS12859.1
ENST00000270502	CCDS12252.1
ENST00000270509	CCDS12196.1
ENST00000270517	CCDS12262.1
ENST00000270530	CCDS12188.1
ENST00000270538	CCDS12192.1
ENST00000270560	CCDS11054.1
ENST00000270570	CCDS11209.1
ENST00000270583	CCDS10963.1
ENST00000270586	CCDS11056.1
ENST00000270590	CCDS12801.1
ENST00000270593	CCDS12802.1
ENST00000270625	CCDS12769.1
ENST00000270631	CCDS12763.1
ENST00000270634	CCDS12768.1
ENST00000270637	CCDS12824.1
ENST00000270645	CCDS12771.1
ENST00000270649	CCDS12847.1
ENST00000270684	CCDS99.1
ENST00000270685	CCDS98.1
ENST00000270694	CCDS65.1
ENST00000270708	CCDS48.1
ENST00000270728	CCDS157.1
ENST00000270729	CCDS932.1
ENST00000270733	CCDS179.1
ENST00000270737	CCDS178.1
ENST00000270747	CCDS170.1
ENST00000270750	CCDS155.1
ENST00000270776	CCDS113.1
ENST00000270792	CCDS278.1
ENST00000270799	CCDS238.1
ENST00000270800	CCDS247.1
ENST00000270812	CCDS275.1
ENST00000270814	CCDS430.1
ENST00000270815	CCDS395.1
ENST00000270824	CCDS406.1
ENST00000270828	CCDS381.1
ENST00000270861	CCDS3735.1
ENST00000270879	CCDS300.1
ENST00000270886	CCDS297.1
ENST00000270929	CCDS477.1
ENST00000271015	CCDS704.1
ENST00000271047	CCDS674.1
ENST00000271064	CCDS343.1
ENST00000271095	CCDS360.1
ENST00000271105	CCDS513.1
ENST00000271119	CCDS512.1
ENST00000271137	CCDS514.1
ENST00000271139	CCDS540.1
ENST00000271153	CCDS542.1
ENST00000271185	CCDS601.1
ENST00000271191	CCDS581.1
ENST00000271199	CCDS713.1
ENST00000271223	CCDS730.1
ENST00000271307	CCDS826.1
ENST00000271308	CCDS799.1
ENST00000271311	CCDS789.1
ENST00000271315	CCDS837.1
ENST00000271324	CCDS829.1
ENST00000271331	CCDS825.1
ENST00000271332	CCDS796.1
ENST00000271334	CCDS918.1
ENST00000271348	CCDS929.1
ENST00000271357	CCDS1268.1
ENST00000271359	CCDS1250.1
ENST00000271368	CCDS1276.1
ENST00000271371	CCDS1277.1
ENST00000271372	CCDS1254.1
ENST00000271373	CCDS1266.1
ENST00000271375	CCDS1271.1
ENST00000271377	CCDS1262.1
ENST00000271383	CCDS1258.1
ENST00000271387	CCDS1248.1
ENST00000271394	CCDS1272.1
ENST00000271395	CCDS1252.1
ENST00000271401	CCDS1274.1
ENST00000271402	CCDS1273.1
ENST00000271411	CCDS1259.1
ENST00000271416	CCDS1257.1
ENST00000271417	CCDS1256.1
ENST00000271418	CCDS1275.1
ENST00000271420	CCDS1249.1
ENST00000271440	CCDS1216.1
ENST00000271446	CCDS1220.1
ENST00000271452	CCDS1245.1
ENST00000271481	CCDS1230.1
ENST00000271485	CCDS1217.1
ENST00000271509	CCDS1388.1
ENST00000271526	CCDS1157.1
ENST00000271532	CCDS1166.1
ENST00000271536	CCDS1154.1
ENST00000271552	CCDS1192.1
ENST00000271556	CCDS1198.1
ENST00000271558	CCDS1152.1
ENST00000271566	CCDS1340.1
ENST00000271579	CCDS1348.1
ENST00000271583	CCDS1335.1
ENST00000271586	CCDS1333.1
ENST00000271587	CCDS1370.1
ENST00000271607	CCDS1522.1
ENST00000271610	CCDS1397.1
ENST00000271620	CCDS977.1
ENST00000271628	CCDS941.1
ENST00000271629	CCDS953.1
ENST00000271635	CCDS952.1
ENST00000271638	CCDS1009.1
ENST00000271640	CCDS972.1
ENST00000271643	CCDS955.1
ENST00000271648	CCDS957.1
ENST00000271651	CCDS969.1
ENST00000271657	CCDS993.1
ENST00000271679	CCDS975.1
ENST00000271688	CCDS973.1
ENST00000271690	CCDS963.1
ENST00000271707	CCDS1003.1
ENST00000271715	CCDS997.1
ENST00000271717	CCDS982.1
ENST00000271732	CCDS966.1
ENST00000271733	CCDS983.1
ENST00000271751	CCDS1496.1
ENST00000271754	CCDS1502.1
ENST00000271764	CCDS1465.1
ENST00000271775	CCDS1501.1
ENST00000271776	CCDS1511.1
ENST00000271794	CCDS1528.1
ENST00000271835	CCDS1010.1
ENST00000271836	CCDS1084.1
ENST00000271843	CCDS1057.1
ENST00000271845	CCDS1058.1
ENST00000271846	CCDS1038.1
ENST00000271856	CCDS1049.1
ENST00000271857	CCDS1053.1
ENST00000271860	CCDS1039.1
ENST00000271886	CCDS1064.1
ENST00000271889	CCDS1056.1
ENST00000271902	CCDS1090.1
ENST00000271938	CCDS1089.1
ENST00000271939	CCDS1050.1
ENST00000271940	CCDS1123.1
ENST00000271949	CCDS1108.1
ENST00000271965	CCDS1582.1
ENST00000271967	CCDS1588.1
ENST00000271971	CCDS1586.1
ENST00000272005	CCDS1598.1
ENST00000272065	CCDS1639.1
ENST00000272066	CCDS1641.1
ENST00000272067	CCDS1640.1
ENST00000272080	CCDS1562.1
ENST00000272097	CCDS1539.1
ENST00000272102	CCDS1565.1
ENST00000272113	CCDS1549.1
ENST00000272117	CCDS1555.1
ENST00000272133	CCDS1544.1
ENST00000272134	CCDS1548.1
ENST00000272139	CCDS1566.1
ENST00000272146	CCDS1554.1
ENST00000272148	CCDS1556.1
ENST00000272163	CCDS1545.1
ENST00000272167	CCDS1547.1
ENST00000272203	CCDS1444.1
ENST00000272217	CCDS1421.1
ENST00000272223	CCDS1694.1
ENST00000272224	CCDS1701.1
ENST00000272227	CCDS1675.1
ENST00000272233	CCDS1699.1
ENST00000272238	CCDS1674.1
ENST00000272249	CCDS1796.1
ENST00000272252	CCDS1797.1
ENST00000272284	CCDS1820.1
ENST00000272286	CCDS1815.1
ENST00000272298	CCDS1832.1
ENST00000272313	CCDS1855.1
ENST00000272324	CCDS1962.1
ENST00000272342	CCDS1882.1
ENST00000272348	CCDS1903.1
ENST00000272366	CCDS1737.1
ENST00000272367	CCDS1910.1
ENST00000272371	CCDS1725.1
ENST00000272375	CCDS1969.1
ENST00000272395	CCDS2015.1
ENST00000272402	CCDS2019.1
ENST00000272418	CCDS2010.1
ENST00000272421	CCDS1913.1
ENST00000272424	CCDS1927.1
ENST00000272425	CCDS1926.1
ENST00000272433	CCDS1922.1
ENST00000272438	CCDS1914.1
ENST00000272440	CCDS1949.1
ENST00000272442	CCDS1934.1
ENST00000272444	CCDS1928.1
ENST00000272452	CCDS2077.1
ENST00000272453	CCDS2073.1
ENST00000272454	CCDS2083.1
ENST00000272462	CCDS2085.1
ENST00000272519	CCDS2131.1
ENST00000272521	CCDS2128.1
ENST00000272542	CCDS2099.1
ENST00000272602	CCDS2034.1
ENST00000272610	CCDS2030.1
ENST00000272644	CCDS2148.1
ENST00000272645	CCDS2151.1
ENST00000272647	CCDS2152.1
ENST00000272702	CCDS2199.1
ENST00000272732	CCDS2258.1
ENST00000272771	CCDS2314.1
ENST00000272793	CCDS2238.1
ENST00000272797	CCDS2236.1
ENST00000272801	CCDS2295.1
ENST00000272839	CCDS2376.1
ENST00000272847	CCDS2383.1
ENST00000272849	CCDS2365.1
ENST00000272852	CCDS2372.1
ENST00000272879	CCDS2338.1
ENST00000272902	CCDS2564.1
ENST00000272928	CCDS2516.1
ENST00000272930	CCDS2523.1
ENST00000272937	CCDS2527.1
ENST00000272972	CCDS2536.1
ENST00000273037	CCDS2607.1
ENST00000273038	CCDS2606.1
ENST00000273047	CCDS2633.1
ENST00000273048	CCDS2434.1
ENST00000273062	CCDS2416.1
ENST00000273063	CCDS2446.1
ENST00000273077	CCDS2411.1
ENST00000273085	CCDS2626.1
ENST00000273113	CCDS2558.1
ENST00000273130	CCDS2654.1
ENST00000273142	CCDS2651.1
ENST00000273145	CCDS2706.1
ENST00000273153	CCDS2682.1
ENST00000273156	CCDS2699.1
ENST00000273158	CCDS2685.1
ENST00000273173	CCDS2677.1
ENST00000273183	CCDS2662.1
ENST00000273223	CCDS2614.1
ENST00000273258	CCDS2912.1
ENST00000273283	CCDS2864.1
ENST00000273286	CCDS2876.1
ENST00000273308	CCDS8914.1
ENST00000273317	CCDS2729.1
ENST00000273320	CCDS2715.1
ENST00000273347	CCDS2945.1
ENST00000273352	CCDS2938.1
ENST00000273356	CCDS2962.1
ENST00000273359	CCDS2963.1
ENST00000273371	CCDS2991.1
ENST00000273375	CCDS3001.1
ENST00000273378	CCDS2990.1
ENST00000273390	CCDS2994.1
ENST00000273395	CCDS2971.1
ENST00000273398	CCDS2976.1
ENST00000273406	CCDS3081.1
ENST00000273450	CCDS3034.1
ENST00000273480	CCDS3118.1
ENST00000273580	CCDS3308.1
ENST00000273588	CCDS2797.1
ENST00000273590	CCDS2796.1
ENST00000273596	CCDS2843.1
ENST00000273598	CCDS2798.1
ENST00000273610	CCDS2772.1
ENST00000273611	CCDS2824.1
ENST00000273641	CCDS1677.1
ENST00000273668	CCDS3006.1
ENST00000273691	CCDS3008.1
ENST00000273695	CCDS3316.1
ENST00000273725	CCDS3411.1
ENST00000273739	CCDS3426.1
ENST00000273783	CCDS3252.1
ENST00000273784	CCDS3278.1
ENST00000273814	CCDS3342.1
ENST00000273854	CCDS3513.1
ENST00000273857	CCDS3477.1
ENST00000273859	CCDS3476.1
ENST00000273860	CCDS3485.1
ENST00000273861	CCDS3482.1
ENST00000273905	CCDS3614.1
ENST00000273908	CCDS3595.1
ENST00000273920	CCDS3594.1
ENST00000273936	CCDS3539.1
ENST00000273951	CCDS3550.1
ENST00000273962	CCDS3650.1
ENST00000273963	CCDS3617.1
ENST00000273968	CCDS3631.1
ENST00000274000	CCDS3696.1
ENST00000274008	CCDS3730.1
ENST00000274024	CCDS3712.1
ENST00000274026	CCDS3723.1
ENST00000274031	CCDS3748.1
ENST00000274054	CCDS3803.1
ENST00000274065	CCDS3775.1
ENST00000274071	CCDS3795.1
ENST00000274093	CCDS3822.1
ENST00000274134	CCDS3879.1
ENST00000274137	CCDS3866.1
ENST00000274170	CCDS3889.1
ENST00000274192	CCDS3870.1
ENST00000274217	CCDS3884.1
ENST00000274242	CCDS3934.1
ENST00000274254	CCDS3915.1
ENST00000274255	CCDS3916.1
ENST00000274276	CCDS3928.1
ENST00000274278	CCDS3913.1
ENST00000274289	CCDS3974.1
ENST00000274306	CCDS3965.1
ENST00000274311	CCDS3956.1
ENST00000274327	CCDS3986.1
ENST00000274335	CCDS3993.1
ENST00000274341	CCDS4061.1
ENST00000274345	CCDS4042.1
ENST00000274353	CCDS4046.1
ENST00000274368	CCDS4034.1
ENST00000274382	CCDS4088.1
ENST00000274457	CCDS4118.1
ENST00000274459	CCDS4122.1
ENST00000274473	CCDS4142.1
ENST00000274487	CCDS4146.1
ENST00000274496	CCDS4279.1
ENST00000274498	CCDS4277.1
ENST00000274507	CCDS4190.1
ENST00000274516	CCDS4175.1
ENST00000274520	CCDS4189.1
ENST00000274532	CCDS4332.1
ENST00000274542	CCDS4344.1
ENST00000274543	CCDS4351.1
ENST00000274545	CCDS4356.1
ENST00000274547	CCDS4355.1
ENST00000274565	CCDS4289.1
ENST00000274569	CCDS4296.1
ENST00000274576	CCDS4320.1
ENST00000274596	CCDS4319.1
ENST00000274599	CCDS4311.1
ENST00000274606	CCDS4432.1
ENST00000274625	CCDS4378.1
ENST00000274629	CCDS4373.1
ENST00000274639	CCDS4487.1
ENST00000274673	CCDS4489.1
ENST00000274680	CCDS4494.1
ENST00000274688	CCDS4524.1
ENST00000274695	CCDS4546.1
ENST00000274710	CCDS4216.1
ENST00000274712	CCDS4239.1
ENST00000274721	CCDS4201.1
ENST00000274754	CCDS4550.1
ENST00000274755	CCDS4564.1
ENST00000274764	CCDS4563.1
ENST00000274766	CCDS4551.1
ENST00000274773	CCDS4462.1
ENST00000274787	CCDS4401.1
ENST00000274793	CCDS4917.1
ENST00000274811	CCDS4404.1
ENST00000274813	CCDS4924.1
ENST00000274818	CCDS4927.1
ENST00000274820	CCDS4452.1
ENST00000274827	CCDS4408.1
ENST00000274849	CCDS4616.1
ENST00000274897	CCDS4954.1
ENST00000274922	CCDS4964.1
ENST00000274963	CCDS4829.1
ENST00000274990	CCDS4894.1
ENST00000274996	CCDS4910.1
ENST00000275016	CCDS4916.1
ENST00000275030	CCDS4995.1
ENST00000275034	CCDS4987.1
ENST00000275036	CCDS4989.1
ENST00000275040	CCDS4999.1
ENST00000275053	CCDS5039.1
ENST00000275066	CCDS5019.1
ENST00000275073	CCDS5011.1
ENST00000275076	CCDS5057.1
ENST00000275123	CCDS4748.1
ENST00000275169	CCDS5079.1
ENST00000275191	CCDS5157.1
ENST00000275198	CCDS5155.1
ENST00000275200	CCDS5154.1
ENST00000275216	CCDS5158.1
ENST00000275223	CCDS5160.1
ENST00000275228	CCDS5163.1
ENST00000275229	CCDS5176.1
ENST00000275230	CCDS5169.1
ENST00000275244	CCDS5257.1
ENST00000275248	CCDS5251.1
ENST00000275262	CCDS5287.1
ENST00000275275	CCDS5271.1
ENST00000275279	CCDS5266.1
ENST00000275292	CCDS5240.1
ENST00000275299	CCDS5233.1
ENST00000275300	CCDS5277.1
ENST00000275347	CCDS5302.1
ENST00000275364	CCDS5335.1
ENST00000275371	CCDS5320.1
ENST00000275406	CCDS5354.1
ENST00000275428	CCDS5428.1
ENST00000275461	CCDS5368.1
ENST00000275493	CCDS5514.1
ENST00000275517	CCDS8091.1
ENST00000275521	CCDS5505.1
ENST00000275523	CCDS5499.1
ENST00000275525	CCDS5504.1
ENST00000275532	CCDS5534.1
ENST00000275560	CCDS5585.1
ENST00000275569	CCDS5590.1
ENST00000275579	CCDS5519.1
ENST00000275603	CCDS5523.1
ENST00000275605	CCDS5522.1
ENST00000275607	CCDS5524.1
ENST00000275621	CCDS5552.1
ENST00000275721	CCDS5699.1
ENST00000275764	CCDS5839.1
ENST00000275766	CCDS5850.1
ENST00000275767	CCDS5837.1
ENST00000275815	CCDS5884.1
ENST00000275838	CCDS5921.1
ENST00000275857	CCDS14126.1
ENST00000275869	CCDS14135.1
ENST00000275927	CCDS14170.1
ENST00000275954	CCDS14235.1
ENST00000275963	CCDS14240.1
ENST00000275979	CCDS14265.1
ENST00000275995	CCDS14382.1
ENST00000276014	CCDS14331.1
ENST00000276033	CCDS14426.1
ENST00000276046	CCDS14266.1
ENST00000276050	CCDS14278.1
ENST00000276052	CCDS14276.1
ENST00000276055	CCDS14268.1
ENST00000276059	CCDS14323.1
ENST00000276072	CCDS14412.1
ENST00000276077	CCDS14443.1
ENST00000276084	CCDS14441.1
ENST00000276096	CCDS14300.1
ENST00000276103	CCDS14415.1
ENST00000276105	CCDS14405.1
ENST00000276107	CCDS14411.1
ENST00000276110	CCDS14406.1
ENST00000276127	CCDS14458.1
ENST00000276141	CCDS14472.1
ENST00000276174	CCDS14529.1
ENST00000276175	CCDS14522.1
ENST00000276198	CCDS14564.1
ENST00000276201	CCDS14588.1
ENST00000276210	CCDS14631.1
ENST00000276211	CCDS14628.1
ENST00000276212	CCDS14638.1
ENST00000276218	CCDS14625.1
ENST00000276230	CCDS14661.1
ENST00000276297	CCDS5989.1
ENST00000276326	CCDS5953.1
ENST00000276341	CCDS14700.1
ENST00000276344	CCDS14710.1
ENST00000276345	CCDS14723.1
ENST00000276346	CCDS14717.1
ENST00000276348	CCDS14743.1
ENST00000276365	CCDS14716.1
ENST00000276369	CCDS14707.1
ENST00000276373	CCDS6013.1
ENST00000276390	CCDS6014.1
ENST00000276393	CCDS6054.1
ENST00000276395	CCDS6062.1
ENST00000276410	CCDS6135.1
ENST00000276420	CCDS6016.1
ENST00000276431	CCDS6035.1
ENST00000276440	CCDS6047.1
ENST00000276449	CCDS6102.1
ENST00000276461	CCDS6095.1
ENST00000276480	CCDS6149.1
ENST00000276497	CCDS6162.1
ENST00000276500	CCDS6156.1
ENST00000276533	CCDS6116.1
ENST00000276569	CCDS6181.1
ENST00000276570	CCDS6183.1
ENST00000276571	CCDS6188.1
ENST00000276573	CCDS6187.1
ENST00000276576	CCDS6190.1
ENST00000276585	CCDS6226.1
ENST00000276590	CCDS6208.1
ENST00000276594	CCDS6206.1
ENST00000276602	CCDS6210.1
ENST00000276603	CCDS6211.1
ENST00000276609	CCDS6254.1
ENST00000276616	CCDS6240.1
ENST00000276654	CCDS6303.1
ENST00000276658	CCDS6313.1
ENST00000276659	CCDS6307.1
ENST00000276682	CCDS6319.1
ENST00000276689	CCDS6352.1
ENST00000276692	CCDS6351.1
ENST00000276699	CCDS6339.1
ENST00000276704	CCDS6341.1
ENST00000276708	CCDS6360.1
ENST00000276816	CCDS6437.1
ENST00000276892	CCDS6455.1
ENST00000276893	CCDS6469.1
ENST00000276911	CCDS6476.1
ENST00000276914	CCDS6490.1
ENST00000276915	CCDS6502.1
ENST00000276916	CCDS6489.1
ENST00000276919	CCDS6498.1
ENST00000276925	CCDS6512.1
ENST00000276927	CCDS6508.1
ENST00000276935	CCDS6484.1
ENST00000276943	CCDS6521.1
ENST00000277010	CCDS6562.1
ENST00000277056	CCDS6438.1
ENST00000277070	CCDS6660.1
ENST00000277120	CCDS6671.1
ENST00000277153	CCDS6681.1
ENST00000277161	CCDS6689.1
ENST00000277165	CCDS6706.1
ENST00000277183	CCDS6710.1
ENST00000277240	CCDS6782.1
ENST00000277242	CCDS6771.1
ENST00000277268	CCDS6828.1
ENST00000277315	CCDS6794.1
ENST00000277359	CCDS6968.1
ENST00000277402	CCDS6960.1
ENST00000277404	CCDS6966.1
ENST00000277405	CCDS6967.1
ENST00000277417	CCDS6962.1
ENST00000277422	CCDS6969.1
ENST00000277458	CCDS6924.1
ENST00000277459	CCDS6925.1
ENST00000277476	CCDS6928.1
ENST00000277480	CCDS6892.1
ENST00000277497	CCDS7020.1
ENST00000277517	CCDS7055.1
ENST00000277531	CCDS7045.1
ENST00000277540	CCDS7047.1
ENST00000277554	CCDS6993.1
ENST00000277570	CCDS7085.1
ENST00000277585	CCDS7132.1
ENST00000277592	CCDS7137.1
ENST00000277632	CCDS7110.1
ENST00000277633	CCDS7124.1
ENST00000277657	CCDS7173.1
ENST00000277705	CCDS7255.1
ENST00000277746	CCDS7268.1
ENST00000277778	CCDS7373.1
ENST00000277780	CCDS7374.1
ENST00000277783	CCDS7354.1
ENST00000277804	CCDS7283.1
ENST00000277829	CCDS7340.1
ENST00000277847	CCDS7351.1
ENST00000277864	CCDS7381.1
ENST00000277865	CCDS7382.1
ENST00000277871	CCDS7412.1
ENST00000277874	CCDS7409.1
ENST00000277882	CCDS7411.1
ENST00000277884	CCDS7430.1
ENST00000277888	CCDS7594.1
ENST00000277900	CCDS7561.1
ENST00000277905	CCDS7597.1
ENST00000277916	CCDS7326.1
ENST00000277926	CCDS7316.1
ENST00000277938	CCDS7303.1
ENST00000277994	CCDS7659.1
ENST00000278017	CCDS7541.1
ENST00000278020	CCDS7545.1
ENST00000278025	CCDS7680.1
ENST00000278053	CCDS7670.1
ENST00000278060	CCDS7683.1
ENST00000278062	CCDS7555.1
ENST00000278063	CCDS7547.1
ENST00000278065	CCDS7553.1
ENST00000278070	CCDS7529.1
ENST00000278081	CCDS7532.1
ENST00000278082	CCDS7653.1
ENST00000278100	CCDS7651.1
ENST00000278174	CCDS7811.1
ENST00000278175	CCDS7801.1
ENST00000278187	CCDS7858.1
ENST00000278193	CCDS7864.1
ENST00000278200	CCDS7874.1
ENST00000278222	CCDS7832.1
ENST00000278224	CCDS7742.1
ENST00000278243	CCDS7747.1
ENST00000278279	CCDS8021.1
ENST00000278282	CCDS8020.1
ENST00000278306	CCDS7726.1
ENST00000278317	CCDS7727.1
ENST00000278319	CCDS7775.1
ENST00000278353	CCDS7905.1
ENST00000278359	CCDS7895.1
ENST00000278360	CCDS7898.1
ENST00000278385	CCDS7897.1
ENST00000278400	CCDS7971.1
ENST00000278407	CCDS7962.1
ENST00000278412	CCDS7952.1
ENST00000278422	CCDS7967.1
ENST00000278426	CCDS7958.1
ENST00000278456	CCDS7945.1
ENST00000278460	CCDS7925.1
ENST00000278483	CCDS8275.1
ENST00000278499	CCDS8303.1
ENST00000278520	CCDS8307.1
ENST00000278534	CCDS8237.1
ENST00000278544	CCDS8247.1
ENST00000278559	CCDS8248.1
ENST00000278572	CCDS8236.1
ENST00000278601	CCDS8353.1
ENST00000278655	CCDS13105.1
ENST00000278671	CCDS8209.1
ENST00000278715	CCDS8409.1
ENST00000278723	CCDS8433.1
ENST00000278742	CCDS8487.1
ENST00000278765	CCDS13163.1
ENST00000278772	CCDS13028.1
ENST00000278795	CCDS13078.1
ENST00000278816	CCDS13133.1
ENST00000278823	CCDS8022.1
ENST00000278826	CCDS8005.1
ENST00000278829	CCDS8013.1
ENST00000278831	CCDS13029.1
ENST00000278833	CCDS8024.1
ENST00000278840	CCDS8012.1
ENST00000278845	CCDS8023.1
ENST00000278855	CCDS7979.1
ENST00000278888	CCDS7980.1
ENST00000278916	CCDS8459.1
ENST00000278921	CCDS8444.1
ENST00000278927	CCDS8453.1
ENST00000278937	CCDS8393.1
ENST00000278947	CCDS8390.1
ENST00000278949	CCDS8392.1
ENST00000278968	CCDS8381.1
ENST00000278973	CCDS13325.1
ENST00000278989	CCDS13199.1
ENST00000278992	CCDS13223.1
ENST00000279009	CCDS13461.1
ENST00000279022	CCDS13276.1
ENST00000279026	CCDS13383.1
ENST00000279027	CCDS13400.1
ENST00000279036	CCDS13353.1
ENST00000279052	CCDS13258.1
ENST00000279061	CCDS13393.1
ENST00000279063	CCDS13395.1
ENST00000279070	CCDS13511.1
ENST00000279091	CCDS13509.1
ENST00000279146	CCDS8168.1
